Timestamp,date prepared,service request date,Received Via,Agent / Client,Billing Party,Vessel/ Voyage ,Vessel Type,ETA /POB,Port,Terminal,Service Type,Service Provider,#Tugs Required,Date Approved,Approving Personnel, , ,Email Address,STATUS,COS,Remarks,COS#,vessel#,vessel name,port#,port name,terminal #,terminal name,,,,
1/6/2024,1/6/2024,1/6/2024,Call,Lorenzo,,Lorcon Bacolod,Local,1/6/2024,Davao,Sasa,Docking / Undocking,MMSI,1/2/1900,1/6/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/7/2024,1/7/2024,1/7/2024,Call,Seaboard,,Helane,Foreign,1/7/2024,Davao,Petron,Docking / Undocking,MMSI,1/2/1900,1/6/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/7/2024,1/7/2024,1/7/2024,Call,IOC,,Ava,Local,1/7/2024,Davao,IOC,Docking / Undocking,MMSI,1/2/1900,1/7/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/7/2024,1/7/2024,1/7/2024,SMS,Gothong,,MV Caroline Joy 1,Local,1/8/2024,Davao,KTC,Docking / Undocking,MMSI,1/2/1900,1/7/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/7/2024,1/7/2024,1/7/2024,Call,IOC,,MT Casandra,Local,1/8/2024,CDO,PDOC,Docking / Undocking,PRS,1/2/1900,1/8/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/8/2024,1/8/2024,1/8/2024,Call,IOC,,Aries Pearl,Foreign,1/10/2024,Quezon,Azora,Docking / Undocking,Hemsi c/o PCL,1/2/1900,1/8/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/8/2024,1/8/2024,1/8/2024,Call,CLIO,,Future Ocean,Foreign,1/11/2024,Davao,Sasa,Docking / Undocking,MMSI,1/2/1900,1/8/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/9/2024,1/9/2024,1/9/2024,Call,OMS,,MV HOANG DUONG STAR    ,Foreign,1/9/2024,Davao,Kudos,Docking / Undocking,MMSI,1/2/1900,1/9/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/9/2024,1/9/2024,1/9/2024,Call,IOC,,AVA,Local,1/9/2024,Davao,IOC,Docking / Undocking,MMSI,1/2/1900,1/9/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/9/2024,1/9/2024,1/9/2024,Call,IOC,,Ava,Local,1/9/2024,Davao,IOC,Tending,MMSI,1/1/1900,1/9/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/9/2024,1/9/2023,1/10/2023,Viber,IOC,,Casandra,Local,1/10/2024,Leyte,Vispet,Docking / Undocking,PRS,1/1/1900,1/9/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/10/2024,1/10/2024,1/11/2024,Email,ND Shipping,,Green Italia,Foreign,1/11/2024,Davao,Craft Haven,Docking / Undocking,MMSI,1/2/1900,1/10/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/13/2024,1/13/2024,1/14/2024,SMS,Gothong,,Don Alfredo Sr3 / V1,Local,1/14/2024,Davao,KTC,Docking / Undocking,MMSI,1/1/1900,1/13/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/13/2024,1/13/2024,1/22/2024,Email,GAC,,MT HELLAS APHRODITE,Foreign,1/22/2024,Leyte,Vispet,Docking / Undocking,Other tug provider,1/3/1900,1/13/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/15/2024,1/15/2024,1/25/2024,Email,GAC,, MT HELLAS APHRODITE,Foreign,1/25/2024,CDO,PDOC,Docking / Undocking,Other tug provider,1/3/1900,1/15/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/16/2024,1/16/2024,1/16/2024,Call,Seaboard,,Fatime,Foreign,1/16/2024,Davao,Petron,Docking / Undocking,MMSI,1/2/1900,1/16/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/16/2024,1/16/2024,1/16/2024,Email,ND Holdings,,Cala Piccola,Foreign,1/16/2024,Davao,Craft Haven,Docking / Undocking,MMSI,1/1/1900,1/16/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/16/2024,1/16/2024,1/17/2024,Call,Lorenzo Shipping,,MV Rasalas,Local,1/17/2024,Davao,Sasa,Docking / Undocking,MMSI,1/2/1900,1/17/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/16/2024,1/16/2024,1/17/2024,Call,Lorenzo Shipping,,Lorcon Manila,Local,1/17/2024,Davao,Sasa,Docking / Undocking,MMSI,1/2/1900,1/17/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/16/2024,1/16/2024,1/18/2024,SMS,Gothong,,Don Ceferino Alfredo,Local,1/18/2024,Davao,KTC,Docking / Undocking,MMSI,1/1/1900,1/17/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/17/2024,1/17/2024,1/19/2024,Viber,IOC,,Casandra,Local,1/19/2024,Leyte,Vispet,Docking / Undocking,Other tug provider,1/1/1900,1/17/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/17/2024,1/17/2024,1/22/2024,Email,GAC,,MT BW  EGRET,Foreign,1/22/2024,Davao,IOC,Docking / Undocking,MMSI,1/3/1900,1/17/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/17/2024,1/17/2024,1/22/2024,Email,GAC,,MT BW  EGRET,Foreign,1/22/2024,Davao,IOC,Tending,MMSI,1/2/1900,1/17/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/19/2024,1/19/2024,1/19/2024,SMS,NARRA TANKERS,,NTC HARRIBON,Local,1/20/2024,Davao,PETRON,Docking / Undocking,MMSI,1/2/1900,1/20/2024,,,,mmsi-admin@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/20/2024,1/20/2024,1/21/2024,SMS,Gothong,,Doña Caroline Joy / Voy 2,Local,1/21/2024,Davao,KTC,Docking / Undocking,MMSI,1/2/1900,1/20/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/20/2024,1/20/2024,1/20/2024,Call,Seensam,,LCT 808,Local,1/20/2024,Davao,Kudos,Docking / Undocking,MMSI,1/1/1900,1/20/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/20/2024,1/20/2024,1/20/2024,Call,Lorenzo,,MV Rasalas,Local,1/20/2024,Davao,Sasa,Docking / Undocking,MMSI,1/2/1900,1/20/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/20/2024,1/20/2024,1/20/2024,Call,IOC,,MT Panglao,Local,1/20/2024,Davao,IOC,Docking / Undocking,MMSI,1/2/1900,1/20/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/20/2024,1/20/2024,1/20/2024,Call,IOC,,MT Panglao,Local,1/20/2024,Davao,IOC,Tending,MMSI,1/1/1900,1/20/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/20/2024,1/20/2024,1/21/2024,Call,OMS,,An Binh 18,Foreign,1/21/2024,Davao,Kudos,Docking / Undocking,MMSI,1/2/1900,1/21/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,0252,,,,,,,,,
1/21/2024,1/21/2024,1/21/2024,Call,IOC,,Casandra,Local,1/21/2024,Davao,Chevron,Docking / Undocking,MMSI,1/2/1900,1/21/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/22/2024,1/22/2024,1/22/2024,SMS,Lorenzo,,Lorcon Bacolod,Local,1/22/2024,Davao,Sasa,Docking / Undocking,MMSI,1/2/1900,1/22/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/23/2024,1/23/2024,1/20/2024,Email,"MAR-Ships Agency, Inc",,MT Theresa Empat,Foreign,1/30/2024,Davao,NDOMILL,Docking / Undocking,MMSI,1/3/1900,1/23/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/24/2024,1/24/2024,1/24/2024,Viber,IOC,,Ava,Local,1/24/2024,Davao,IOC,Docking / Undocking,MMSI,1/2/1900,1/24/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/24/2024,1/24/2024,1/24/2024,Viber,IOC,,Ava,Local,1/24/2024,Davao,IOC,Tending,MMSI,1/1/1900,1/24/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/24/2024,1/24/2024,1/25/2024,SMS,Gothong,,Doña Dariana Brielle,Local,1/25/2024,Davao,KTC,Docking / Undocking,MMSI,1/2/1900,1/24/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/24/2024,1/24/2024,1/25/2024,Call,IOC,,Ava,Local,1/25/2024,Davao,Chevron,Docking / Undocking,MMSI,1/2/1900,1/24/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/25/2024,1/25/2024,1/25/2024,Call,Lorenzo,,Lorcon Dumaguete,Local,1/25/2024,Davao,Sta Ana Anchorage,Docking / Undocking,MMSI,1/1/1900,1/25/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/25/2024,1/25/2024,1/27/2024,Email,ND Holdings,,Green Italia,Foreign,1/27/2024,Davao,Craft Haven,Docking / Undocking,MMSI,1/2/1900,1/25/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/27/2024,1/27/2024,1/28/2024,Call,IOC,,Bulusan 2,Local,1/28/2024,Davao,IOC,Docking / Undocking,MMSI,1/2/1900,1/27/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/28/2024,1/28/2024,1/28/2024,SMS,Gothong,,Don Alfedo Sr.3,Local,1/29/2024,Davao,KTC,Docking / Undocking,MMSI,1/1/1900,1/28/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/29/2024,1/29/2024,1/30/2024,Viber,IOC,,Casandra,Local,1/30/2024,Leyte,Vispet,Docking / Undocking,Other tug provider,1/1/1900,1/29/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/29/2024,1/29/2024,2/1/2024,Viber,JC&V,,MV Jia Da,Foreign,2/1/2024,Davao,TSI,Docking / Undocking,MMSI,1/2/1900,1/29/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/29/2024,1/29/2024,2/7/2024,Email,GAC,,MT ISLAND EXPRESS,Foreign,2/7/2024,Davao,IOC,Docking / Undocking,MMSI,1/3/1900,1/30/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/29/2024,1/29/2024,2/7/2024,Email,GAC,,MT ISLAND EXPRESS,Foreign,2/7/2024,Davao,IOC,Tending,MMSI,1/2/1900,1/30/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/29/2024,1/29/2024,1/30/2023,SMS,IOC,,MT Ava,Local,1/30/2024,Davao,IOC,Docking / Undocking,MMSI,1/2/1900,1/30/2024,,,,mmsi-ops@malayanmaritime.cpom,APPROVED,,,,,,,,,,,,,
1/29/2024,1/29/2024,1/30/2024,SMS,IOC,,MT Ava,Local,1/30/2024,Davao,IOC,Tending,MMSI,1/1/1900,1/30/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/30/2024,1/30/2024,1/30/2024,Call,OMS,,Quan Ming 5,Foreign,1/30/2024,Davao,Kudos,Docking / Undocking,MMSI,1/2/1900,1/30/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/30/2024,1/30/2024,1/31/2024,Email,ND Shipping,,Cala Piccola,Foreign,1/31/2024,Davao,Craft Haven,Docking / Undocking,MMSI,1/1/1900,1/30/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/31/2024,1/31/2024,1/31/2024,Call,IOC,,MT Ava,Local,1/31/2024,Davao,Chevron,Docking / Undocking,MMSI,1/2/1900,1/31/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/31/2024,1/31/2024,1/31/2024,Call,IOC,,Maringal,Local,1/31/2024,Davao,IOC,Docking / Undocking,MMSI,1/2/1900,1/31/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/31/2024,1/31/2024,1/31/2024,Call,IOC,,Maringal,Local,1/31/2024,Davao,IOC,Tending,MMSI,1/1/1900,1/31/2024,,,,mmsi=ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
1/31/2024,1/31/2024,2/1/2024,SMS,Gothong,,Don Alfredo Ceferino,Local,2/1/2024,Davao,KTC,Docking / Undocking,MMSI,1/1/1900,1/31/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/1/2024,2/1/2024,2/3/2024,Viber,IOC,,Chelsea Endurance,Local,2/3/2024,Leyte,Vispet,Docking / Undocking,Other tug provider,1/1/1900,2/2/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/1/2024,2/1/2024,2/2/2024,Call,IOC,,Bulusan 2,Local,2/2/2024,CDO,PDOC,Docking / Undocking,Other tug provider,1/1/1900,2/2/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/4/2024,2/4/2024,2/5/2024,Call,Gothong,,Caroline Joy,Local,2/5/2024,Davao,KTC,Docking / Undocking,MMSI,1/2/1900,2/4/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/7/2024,2/7/2024,2/7/2024,Call,GAC,,Yangze 7,Foreign,2/7/2024,Davao,Sasa,Docking / Undocking,MMSI,1/3/1900,2/7/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/7/2024,2/7/2024,2/7/2024,Call,2GO,,San Rafael Dos,Local,2/7/2024,Davao,Sasa,Docking / Undocking,MMSI,1/2/1900,2/8/2024,,,,mmsi-ops@malayanmartime.com,APPROVED,,,,,,,,,,,,,
2/7/2024,2/7/2024,2/8/2024,Call,Lorenzo,,MV Rasalas,Local,2/8/2024,Davao,Sasa,Docking / Undocking,MMSI,1/2/1900,2/8/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/7/2024,2/7/2024,2/10/2024,Call,Lorenzo,,Lorcon Dumaguete,Local,2/10/2024,Davao,Sta Ana Anchorage,Docking / Undocking,MMSI,1/1/1900,2/8/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/7/2024,2/7/2024,2/8/2024,SMS,Gothong,,Doña Dariana Brielle,Local,2/8/2024,Davao,KTC,Docking / Undocking,MMSI,1/2/1900,2/8/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/8/2024,2/8/2024,2/8/2024,Call,OMS,,Tan Binh,Foreign,2/8/2024,Davao,Kudos,Docking / Undocking,MMSI,1/2/1900,2/8/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/8/2024,2/8/2024,2/9/2024,Call,FOUR DRAGONS,,CRIMSON JADE,Foreign,2/9/2024,SUBIC,SUBIC,Docking / Undocking,Other tug provider,1/2/1900,2/8/2024,,,,mmsi-admin@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/8/2024,2/8/2024,2/9/2024,Viber,IOC,,Casandra,Local,2/9/2024,Leyte,Vispet,Docking / Undocking,Other tug provider,1/1/1900,2/8/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/8/2024,2/8/2024,2/10/2024,Viber,IOC,,Espada,Local,2/10/2024,Leyte,Vispet,Docking / Undocking,MMSI,1/1/1900,2/8/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/8/2024,2/8/2024,2/11/2024,Email,ND Shipping,,Green Italia,Foreign,2/11/2024,Davao,Craft Haven,Docking / Undocking,MMSI,1/2/1900,2/8/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/8/2024,2/8/2024,2/13/2024,Email,Four Dragons,,MT FAIRCHEM GRUTTO,Foreign,2/13/2024,Davao,IOC,Docking / Undocking,MMSI,1/3/1900,2/8/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/8/2024,2/8/2024,2/13/2024,Email,Four Dragons,,MT FAIRCHEM GRUTTO,Foreign,2/13/2024,Davao,IOC,Tending,MMSI,1/2/1900,2/8/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/8/2024,2/8/2024,2/18/2024,Email,GAC,,MT FALCON ROYAL,Foreign,2/18/2024,Cagayan De Oro,PDOC,Docking / Undocking,Other tug provider,1/3/1900,2/8/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/8/2024,2/8/2024,2/18/2024,Email,GAC,,MT FALCON ROYAL,Foreign,2/18/2024,Cayan De Oro,PDOC,Tending,Other tug provider,1/2/1900,2/8/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/8/2024,2/8/2024,2/18/2024,Email,GAC,,MT FALCON ROYAL,Foreign,2/18/2024,Leyte,Vispet,Docking / Undocking,Other tug provider,1/3/1900,2/8/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/8/2024,2/8/2024,2/14/2024,Email,GAC,,MT FALCON ROYAL,Foreign,2/14/2024,Davao,IOC,Docking / Undocking,MMSI,1/3/1900,2/8/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/8/2024,2/8/2024,2/14/2024,Email,GAC,,MT FALCON ROYAL,Foreign,2/14/2024,Davao,IOC,Tending,MMSI,1/2/1900,2/8/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/8/2024,2/8/2024,2/10/2024,Call,IOC,,MT Ava,Local,2/10/2024,Amlan,Filoil,Docking / Undocking,Other tug provider,1/1/1900,2/8/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/10/2024,2/10/2024,2/10/2024,Call,Clio,,MV JIN WAN,Foreign,2/10/2024,Davao,Sasa,Docking / Undocking,MMSI,1/2/1900,2/10/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/10/2024,2/10/2024,2/10/2024,Call,OMS,,MV AN BINH 18,Foreign,2/10/2024,Davao,Kudos,Docking / Undocking,MMSI,1/2/1900,2/10/2024,,,,mmsi-ops@malayanmaritime.om,APPROVED,,,,,,,,,,,,,
2/11/2024,2/11/2024,2/12/2024,SMS,Gothong,,Don Alfredo Sr 3,Local,2/12/2024,Davao,KTC,Docking / Undocking,MMSI,1/1/1900,2/11/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/12/2024,2/12/2024,2/12/2024,Call,IOC,,Panglao Island,Local,2/12/2024,Davao,IOC,Docking / Undocking,MMSI,1/2/1900,2/11/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/12/2024,2/12/2024,2/12/2024,Call,IOC,,Panglao Island,Local,2/12/2024,Davao,IOC,Tending,MMSI,1/1/1900,2/11/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/12/2024,2/12/2024,2/15/2024,Viber,JC&V,,MV Jia Da,Foreign,2/15/2024,Davao,TSI,Docking / Undocking,MMSI,1/2/1900,2/11/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/12/2024,2/12/2024,2/13/2024,SMS,Gothong,,Dannesa Isobel,Local,2/13/2024,Davao,KTC,Docking / Undocking,MMSI,1/2/1900,2/13/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/13/2024,2/13/2024,2/18/2024,Email,Mar-Ship,,MV Hai Hong,Foreign,2/18/2024,Davao,DBCom,Docking / Undocking,MMSI,1/2/1900,2/14/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/13/2024,2/13/2024,2/19/2024,Email,Mar-Ships,,MT Champion Endurance,Foreign,2/19/2024,Davao,DBCom,Docking / Undocking,MMSI,1/2/1900,2/14/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/14/2024,2/14/2024,2/14/2024,Viber,IOC,,Casandra,Local,2/14/2024,CDO,PDOC,Docking / Undocking,Other tug provider,1/2/1900,2/14/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/14/2024,2/14/2024,2/16/2024,Call,Lorenzo,,Lorcon Dumaguete,Local,2/16/2024,Davao,Santa Ana,Docking / Undocking,MMSI,1/1/1900,2/15/2024,,,,mmsi-ops@mlaayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/14/2024,2/14/2024,2/15/2024,SMS,Gothong,,Don Ceferino Alfredo,Local,2/15/2024,Davao,KTC,Docking / Undocking,MMSI,1/1/1900,2/15/2024,,,,mmsi-ops@malayanamaritime.com,APPROVED,,,,,,,,,,,,,
2/14/2024,2/14/2024,2/15/2024,Call,IOC,,Ava,Local,2/15/2024,Davao,IOC,Docking / Undocking,MMSI,1/2/1900,2/15/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
2/14/2024,2/14/2024,2/15/2024,Call,IOC,,Ava,Local,2/15/2024,Davao,IOC,Tending,MMSI,1/1/1900,2/15/2024,,,,mmsi-ops@malayanmaritime.com,APPROVED,,,,,,,,,,,,,
