Timestamp,Email Address,Full Name,Position,Dispatch/Mooring Ticket #,Choose COS/Vessel details,Date Today,Terminal,Vessel,Voyage #,Date of Start of Activity/Service,Time of Start of Activity/Service,Date of End of Activity/Service,Time of End of Activity/Service,Tugboat/Service Provider,Master/Officer on Duty,Type of Activity,Remarks,Column 18,Terminal,Vessel,Voyage #,Column 22,Voyage #,Column 20,Column 20,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 33,Column 34,Column 35,per type,Client,Column 38
1/3/2026 14:14:05,mmsi-ops@malayanmaritime.com,DJB,OM,,,35939,COS#_[000000]_DAVAO_SOUTHERN CONCRETE INDUSTRY INC._[005-020]_WINDBAY SHIPPING AND LOGISTICS INC._[0052]_MV GOOBY_[0702],1/2/2026,03:00,1/2/2026,11:30,BOHOL SEA_[002],"GUMAPAC, N._[2]",,,,DOCKING_[001],,,,,,,,,COS#_[000000]_DAVAO_SOUTHERN CONCRETE INDUSTRY INC._[005-020]_WINDBAY SHIPPING AND LOGISTICS INC._[0052]_MV GOOBY_[0702]DOCKING_[001],_DOCKING_[001],1,,1/2/2026,1/2/2026,Foreign,0.354166667,,0,WINDBAY SHIPPING AND LOGISTICS INC._[0052],COS#_[000000]_DAVAO_SOUTHERN CONCRETE INDUSTRY INC._[005-020]_WINDBAY SHIPPING AND LOGISTICS INC._[0052]_MV GOOBY_[0702]DOCKING_[001]
1/3/2026 14:15:26,mmsi-ops@malayanmaritime.com,DJB,OM,,,34090,COS#_[000000]_DAVAO_SOUTHERN CONCRETE INDUSTRY INC._[005-020]_WINDBAY SHIPPING AND LOGISTICS INC._[0052]_MV GOOBY_[0702],1/2/2026,03:15,1/2/2026,11:30,SUJEONG_[100],RONALDO A. DALAOTA_[2337],,,,DOCKING_[001],,,,,,,,,COS#_[000000]_DAVAO_SOUTHERN CONCRETE INDUSTRY INC._[005-020]_WINDBAY SHIPPING AND LOGISTICS INC._[0052]_MV GOOBY_[0702]DOCKING_[001],_DOCKING_[001],1,,1/2/2026,1/2/2026,Foreign,0.34375,,0,WINDBAY SHIPPING AND LOGISTICS INC._[0052],COS#_[000000]_DAVAO_SOUTHERN CONCRETE INDUSTRY INC._[005-020]_WINDBAY SHIPPING AND LOGISTICS INC._[0052]_MV GOOBY_[0702]DOCKING_[001]
1/3/2026 14:16:29,mmsi-ops@malayanmaritime.com,DJB,OM,,,36154,COS#_[000000]_DAVAO_SASA PORT_[005-011]_PHIL-CEB MARINE SERVICES INC._[0033]_MV SPAN ASIA 73_[0500],1/2/2026,18:30,1/2/2026,19:25,AMATA MARU_[001],"CINCHEZ, LIONNY BOY_[2189]",,,,UNDOCKING_[002],,,,,,,,,COS#_[000000]_DAVAO_SASA PORT_[005-011]_PHIL-CEB MARINE SERVICES INC._[0033]_MV SPAN ASIA 73_[0500]UNDOCKING_[002],_UNDOCKING_[002],1,,1/2/2026,1/2/2026,Local,0.038194444,,0,PHIL-CEB MARINE SERVICES INC._[0033],COS#_[000000]_DAVAO_SASA PORT_[005-011]_PHIL-CEB MARINE SERVICES INC._[0033]_MV SPAN ASIA 73_[0500]UNDOCKING_[002]
1/3/2026 14:17:19,mmsi-ops@malayanmaritime.com,DJB,OM,,,35941,COS#_[000000]_DAVAO_SASA PORT_[005-011]_PHIL-CEB MARINE SERVICES INC._[0033]_MV SPAN ASIA 73_[0500],1/2/2026,18:30,1/2/2026,19:30,BOHOL SEA_[002],"GUMAPAC, N._[2]",,,,UNDOCKING_[002],,,,,,,,,COS#_[000000]_DAVAO_SASA PORT_[005-011]_PHIL-CEB MARINE SERVICES INC._[0033]_MV SPAN ASIA 73_[0500]UNDOCKING_[002],_UNDOCKING_[002],1,,1/2/2026,1/2/2026,Local,0.041666667,,0,PHIL-CEB MARINE SERVICES INC._[0033],COS#_[000000]_DAVAO_SASA PORT_[005-011]_PHIL-CEB MARINE SERVICES INC._[0033]_MV SPAN ASIA 73_[0500]UNDOCKING_[002]
1/3/2026 14:19:29,mmsi-ops@malayanmaritime.com,DJB,OM,,,36047,"COS#_[000000]_DAVAO_NEW DAVAO OIL MILL_[005-009]_MAR-SHIPS AGENCY, INC._[0043]_MT THERESA EMPAT_[0254]_V[06/25]",1/2/2026,22:50,1/3/2026,01:30,ALLIE BRAVO_[125],"BASALO, A_[1]",,,,UNDOCKING_[002],,,,,,,,,"COS#_[000000]_DAVAO_NEW DAVAO OIL MILL_[005-009]_MAR-SHIPS AGENCY, INC._[0043]_MT THERESA EMPAT_[0254]_V[06/25]UNDOCKING_[002]",_UNDOCKING_[002],1,,1/2/2026,1/3/2026,Foreign,0.111111111,,0,"MAR-SHIPS AGENCY, INC._[0043]","COS#_[000000]_DAVAO_NEW DAVAO OIL MILL_[005-009]_MAR-SHIPS AGENCY, INC._[0043]_MT THERESA EMPAT_[0254]_V[06/25]UNDOCKING_[002]"
1/3/2026 14:20:47,mmsi-ops@malayanmaritime.com,DJB,OM,,,36049,"COS#_[000000]_DAVAO_NEW DAVAO OIL MILL_[005-009]_MAR-SHIPS AGENCY, INC._[0043]_MT THERESA EMPAT_[0254]_V[06/25]",1/2/2026,23:00,1/3/2026,01:20,FORTIS V_[062],OTHER TUGMASTER_[M2],,,,UNDOCKING_[002],DGM,,,,,,,,"COS#_[000000]_DAVAO_NEW DAVAO OIL MILL_[005-009]_MAR-SHIPS AGENCY, INC._[0043]_MT THERESA EMPAT_[0254]_V[06/25]UNDOCKING_[002]",_UNDOCKING_[002],1,,1/2/2026,1/3/2026,Foreign,0.097222222,,0,"MAR-SHIPS AGENCY, INC._[0043]","COS#_[000000]_DAVAO_NEW DAVAO OIL MILL_[005-009]_MAR-SHIPS AGENCY, INC._[0043]_MT THERESA EMPAT_[0254]_V[06/25]UNDOCKING_[002]"
1/3/2026 14:22:04,mmsi-ops@malayanmaritime.com,DJB,OM,,,36048,"COS#_[000000]_DAVAO_NEW DAVAO OIL MILL_[005-009]_MAR-SHIPS AGENCY, INC._[0043]_MT THERESA EMPAT_[0254]_V[06/25]",1/2/2026,23:00,1/3/2026,01:30,SAMAL_[060],OTHER TUGMASTER_[M2],,,,UNDOCKING_[002],DGM,,,,,,,,"COS#_[000000]_DAVAO_NEW DAVAO OIL MILL_[005-009]_MAR-SHIPS AGENCY, INC._[0043]_MT THERESA EMPAT_[0254]_V[06/25]UNDOCKING_[002]",_UNDOCKING_[002],1,,1/2/2026,1/3/2026,Foreign,0.104166667,,0,"MAR-SHIPS AGENCY, INC._[0043]","COS#_[000000]_DAVAO_NEW DAVAO OIL MILL_[005-009]_MAR-SHIPS AGENCY, INC._[0043]_MT THERESA EMPAT_[0254]_V[06/25]UNDOCKING_[002]"
1/3/2026 14:23:00,mmsi-ops@malayanmaritime.com,DJB,OM,,,36155,COS#_[000000]_DAVAO_SASA PORT_[005-011]_CLIO SHIPPING AND LOGISTICS PHILS. INC_[0004]_MV SKY HEIGHT_[0710],1/3/2026,12:40,1/3/2026,13:40,AMATA MARU_[001],"CINCHEZ, LIONNY BOY_[2189]",,,,UNDOCKING_[002],,,,,,,,,COS#_[000000]_DAVAO_SASA PORT_[005-011]_CLIO SHIPPING AND LOGISTICS PHILS. INC_[0004]_MV SKY HEIGHT_[0710]UNDOCKING_[002],_UNDOCKING_[002],1,,1/3/2026,1/3/2026,Foreign,0.041666667,,0,CLIO SHIPPING AND LOGISTICS PHILS. INC_[0004],COS#_[000000]_DAVAO_SASA PORT_[005-011]_CLIO SHIPPING AND LOGISTICS PHILS. INC_[0004]_MV SKY HEIGHT_[0710]UNDOCKING_[002]
1/3/2026 14:23:51,mmsi-ops@malayanmaritime.com,DJB,OM,,,35942,COS#_[000000]_DAVAO_SASA PORT_[005-011]_CLIO SHIPPING AND LOGISTICS PHILS. INC_[0004]_MV SKY HEIGHT_[0710],1/3/2026,12:40,1/3/2026,13:35,BOHOL SEA_[002],"GUMAPAC, N._[2]",,,,UNDOCKING_[002],,,,,,,,,COS#_[000000]_DAVAO_SASA PORT_[005-011]_CLIO SHIPPING AND LOGISTICS PHILS. INC_[0004]_MV SKY HEIGHT_[0710]UNDOCKING_[002],_UNDOCKING_[002],1,,1/3/2026,1/3/2026,Foreign,0.038194444,,0,CLIO SHIPPING AND LOGISTICS PHILS. INC_[0004],COS#_[000000]_DAVAO_SASA PORT_[005-011]_CLIO SHIPPING AND LOGISTICS PHILS. INC_[0004]_MV SKY HEIGHT_[0710]UNDOCKING_[002]
1/3/2026 14:25:52,mmsi-ops@malayanmaritime.com,DJB,OM,,,41222-A,"COS#_[000000]_DAVAO_NEW DAVAO OIL MILL_[005-009]_MAR-SHIPS AGENCY, INC._[0043]_MT THERESA EMPAT_[0254]_V[06/25]",1/2/2026,03:50,1/2/2026,06:00,FORTIS V_[062],OTHER TUGMASTER_[M2],,,,DOCKING_[001],DGM,,,,,,,,"COS#_[000000]_DAVAO_NEW DAVAO OIL MILL_[005-009]_MAR-SHIPS AGENCY, INC._[0043]_MT THERESA EMPAT_[0254]_V[06/25]DOCKING_[001]",_DOCKING_[001],1,,1/2/2026,1/2/2026,Foreign,0.090277778,,0,"MAR-SHIPS AGENCY, INC._[0043]","COS#_[000000]_DAVAO_NEW DAVAO OIL MILL_[005-009]_MAR-SHIPS AGENCY, INC._[0043]_MT THERESA EMPAT_[0254]_V[06/25]DOCKING_[001]"
1/3/2026 14:27:25,mmsi-ops@malayanmaritime.com,DJB,OM,,,41222-B,"COS#_[000000]_DAVAO_NEW DAVAO OIL MILL_[005-009]_MAR-SHIPS AGENCY, INC._[0043]_MT THERESA EMPAT_[0254]_V[06/25]",1/2/2026,03:50,1/2/2026,06:00,SAMAL_[060],OTHER TUGMASTER_[M2],,,,DOCKING_[001],DGM,,,,,,,,"COS#_[000000]_DAVAO_NEW DAVAO OIL MILL_[005-009]_MAR-SHIPS AGENCY, INC._[0043]_MT THERESA EMPAT_[0254]_V[06/25]DOCKING_[001]",_DOCKING_[001],1,,1/2/2026,1/2/2026,Foreign,0.090277778,,0,"MAR-SHIPS AGENCY, INC._[0043]","COS#_[000000]_DAVAO_NEW DAVAO OIL MILL_[005-009]_MAR-SHIPS AGENCY, INC._[0043]_MT THERESA EMPAT_[0254]_V[06/25]DOCKING_[001]"
1/4/2026 9:59:29,mmsi-ops@malayanmaritime.com,DJB,OM,,,34581,COS#_[000000]_CEBU_SPEC PITALO_[003-003]_INSULAR OIL CORPORATION_[0007]_MT CHELSEA ENDURANCE_[0108]_V[281],1/2/2026,11:55,1/4/2026,05:45,TUG 20_[071],OTHER TUGMASTER_[M2],,,,TENDING_[010],,,,,,,,,COS#_[000000]_CEBU_SPEC PITALO_[003-003]_INSULAR OIL CORPORATION_[0007]_MT CHELSEA ENDURANCE_[0108]_V[281]TENDING_[010],_TENDING_[010],1,,1/2/2026,1/4/2026,Local,1.743055556,,0,INSULAR OIL CORPORATION_[0007],COS#_[000000]_CEBU_SPEC PITALO_[003-003]_INSULAR OIL CORPORATION_[0007]_MT CHELSEA ENDURANCE_[0108]_V[281]TENDING_[010]
1/4/2026 10:02:09,mmsi-ops@malayanmaritime.com,DJB,OM,,,34582,COS#_[000000]_CEBU_SPEC PITALO_[003-003]_INSULAR OIL CORPORATION_[0007]_MT CHELSEA ENDURANCE_[0108]_V[281],1/4/2026,05:45,1/4/2026,06:35,TUG 20_[071],OTHER TUGMASTER_[M2],,,,UNDOCKING_[002],,,,,,,,,COS#_[000000]_CEBU_SPEC PITALO_[003-003]_INSULAR OIL CORPORATION_[0007]_MT CHELSEA ENDURANCE_[0108]_V[281]UNDOCKING_[002],_UNDOCKING_[002],1,,1/4/2026,1/4/2026,Local,0.034722222,,0,INSULAR OIL CORPORATION_[0007],COS#_[000000]_CEBU_SPEC PITALO_[003-003]_INSULAR OIL CORPORATION_[0007]_MT CHELSEA ENDURANCE_[0108]_V[281]UNDOCKING_[002]
1/4/2026 10:02:57,mmsi-ops@malayanmaritime.com,DJB,OM,,,34583,COS#_[000000]_CEBU_SPEC PITALO_[003-003]_INSULAR OIL CORPORATION_[0007]_MT CHELSEA ENDURANCE_[0108]_V[281],1/4/2026,05:45,1/4/2026,06:35,NHTC 5_[069],OTHER TUGMASTER_[M2],,,,UNDOCKING_[002],NHTC 5,,,,,,,,COS#_[000000]_CEBU_SPEC PITALO_[003-003]_INSULAR OIL CORPORATION_[0007]_MT CHELSEA ENDURANCE_[0108]_V[281]UNDOCKING_[002],_UNDOCKING_[002],1,,1/4/2026,1/4/2026,Local,0.034722222,,0,INSULAR OIL CORPORATION_[0007],COS#_[000000]_CEBU_SPEC PITALO_[003-003]_INSULAR OIL CORPORATION_[0007]_MT CHELSEA ENDURANCE_[0108]_V[281]UNDOCKING_[002]
1/5/2026 15:19:26,mmsi-ops@malayanmaritime.com,DJB,OM,,,34991,COS#_[000000]_BATANGAS_CHEVRON BATANGAS_[001-002]_PETROTRADE PHILIPPINES INC_[0059]_MT MAUNLAD_[0465]_V[221],1/3/2026,14:10,1/3/2026,15:20,PANAY GULF_[056],"REYES, RHODELMAR_[2581]",,,,DOCKING_[001],BERTH 6,,,,,,,,COS#_[000000]_BATANGAS_CHEVRON BATANGAS_[001-002]_PETROTRADE PHILIPPINES INC_[0059]_MT MAUNLAD_[0465]_V[221]DOCKING_[001],_DOCKING_[001],1,,1/3/2026,1/3/2026,Local,0.048611111,,0,PETROTRADE PHILIPPINES INC_[0059],COS#_[000000]_BATANGAS_CHEVRON BATANGAS_[001-002]_PETROTRADE PHILIPPINES INC_[0059]_MT MAUNLAD_[0465]_V[221]DOCKING_[001]
1/5/2026 15:20:46,mmsi-ops@malayanmaritime.com,DJB,OM,,,35188,COS#_[000000]_BATANGAS_CHEVRON BATANGAS_[001-002]_PETROTRADE PHILIPPINES INC_[0059]_MT MAUNLAD_[0465]_V[221],1/3/2026,13:58,1/3/2026,15:38,CHOKWANG_[049],JOE MARIE J. TICAR_[2054],,,,DOCKING_[001],BERTH 6,,,,,,,,COS#_[000000]_BATANGAS_CHEVRON BATANGAS_[001-002]_PETROTRADE PHILIPPINES INC_[0059]_MT MAUNLAD_[0465]_V[221]DOCKING_[001],_DOCKING_[001],1,,1/3/2026,1/3/2026,Local,0.069444444,,0,PETROTRADE PHILIPPINES INC_[0059],COS#_[000000]_BATANGAS_CHEVRON BATANGAS_[001-002]_PETROTRADE PHILIPPINES INC_[0059]_MT MAUNLAD_[0465]_V[221]DOCKING_[001]
1/5/2026 15:21:34,mmsi-ops@malayanmaritime.com,DJB,OM,,,34839,COS#_[000000]_BATANGAS_CHEVRON BATANGAS_[001-002]_PETROTRADE PHILIPPINES INC_[0059]_MT MAUNLAD_[0465]_V[221],1/4/2026,11:00,1/4/2026,12:25,SUN JIN NO.505_[076],"MANLANGIT, JUN MARK_[9044]",,,,UNDOCKING_[002],BERTH 6,,,,,,,,COS#_[000000]_BATANGAS_CHEVRON BATANGAS_[001-002]_PETROTRADE PHILIPPINES INC_[0059]_MT MAUNLAD_[0465]_V[221]UNDOCKING_[002],_UNDOCKING_[002],1,,1/4/2026,1/4/2026,Local,0.059027778,,0,PETROTRADE PHILIPPINES INC_[0059],COS#_[000000]_BATANGAS_CHEVRON BATANGAS_[001-002]_PETROTRADE PHILIPPINES INC_[0059]_MT MAUNLAD_[0465]_V[221]UNDOCKING_[002]
1/5/2026 15:22:25,mmsi-ops@malayanmaritime.com,DJB,OM,,,34992,COS#_[000000]_BATANGAS_CHEVRON BATANGAS_[001-002]_PETROTRADE PHILIPPINES INC_[0059]_MT MAUNLAD_[0465]_V[221],1/4/2026,10:50,1/4/2026,11:55,PANAY GULF_[056],"REYES, RHODELMAR_[2581]",,,,UNDOCKING_[002],BERTH 6,,,,,,,,COS#_[000000]_BATANGAS_CHEVRON BATANGAS_[001-002]_PETROTRADE PHILIPPINES INC_[0059]_MT MAUNLAD_[0465]_V[221]UNDOCKING_[002],_UNDOCKING_[002],1,,1/4/2026,1/4/2026,Local,0.045138889,,0,PETROTRADE PHILIPPINES INC_[0059],COS#_[000000]_BATANGAS_CHEVRON BATANGAS_[001-002]_PETROTRADE PHILIPPINES INC_[0059]_MT MAUNLAD_[0465]_V[221]UNDOCKING_[002]
1/5/2026 15:23:08,mmsi-ops@malayanmaritime.com,DJB,OM,,,34840,COS#_[000000]_BATANGAS_SRDC BATANGAS_[001-004]_SITE RESOURCES DEVELOPMENT CORPORATION_[0047]_MT PANGLAO ISLAND_[0115]_V[941],1/5/2026,03:20,1/5/2026,05:25,SUN JIN NO.505_[076],"REYES, RHODELMAR_[2581]",,,,DOCKING_[001],BERTH 5,,,,,,,,COS#_[000000]_BATANGAS_SRDC BATANGAS_[001-004]_SITE RESOURCES DEVELOPMENT CORPORATION_[0047]_MT PANGLAO ISLAND_[0115]_V[941]DOCKING_[001],_DOCKING_[001],1,,1/5/2026,1/5/2026,Local,0.086805556,,0,SITE RESOURCES DEVELOPMENT CORPORATION_[0047],COS#_[000000]_BATANGAS_SRDC BATANGAS_[001-004]_SITE RESOURCES DEVELOPMENT CORPORATION_[0047]_MT PANGLAO ISLAND_[0115]_V[941]DOCKING_[001]
1/5/2026 15:23:53,mmsi-ops@malayanmaritime.com,DJB,OM,,,34993,"COS#_[000000]_BATANGAS_ATI_[001-005]_WILHELMSEN-SMITH BELL SHIPPING, INC._[0023]_MV PATIENCE LAKE_[0715]",1/5/2026,07:20,1/5/2026,09:55,PANAY GULF_[056],"REYES, RHODELMAR_[2581]",,,,FERRY SERVICE_[003],,,,,,,,,"COS#_[000000]_BATANGAS_ATI_[001-005]_WILHELMSEN-SMITH BELL SHIPPING, INC._[0023]_MV PATIENCE LAKE_[0715]FERRY SERVICE_[003]",_FERRY SERVICE_[003],1,,1/5/2026,1/5/2026,Foreign,0.107638889,,0,"WILHELMSEN-SMITH BELL SHIPPING, INC._[0023]","COS#_[000000]_BATANGAS_ATI_[001-005]_WILHELMSEN-SMITH BELL SHIPPING, INC._[0023]_MV PATIENCE LAKE_[0715]FERRY SERVICE_[003]"
1/5/2026 15:24:51,mmsi-ops@malayanmaritime.com,DJB,OM,,,32056,COS#_[000000]_LEYTE_VISPET_[007-001]_INSULAR OIL CORPORATION_[0007]_MT AVA_[0009]_V[388],1/5/2026,08:35,1/5/2026,10:10,HOKUTO_[078],RICKY R. ROJO_[2395],,,,DOCKING_[001],,,,,,,,,COS#_[000000]_LEYTE_VISPET_[007-001]_INSULAR OIL CORPORATION_[0007]_MT AVA_[0009]_V[388]DOCKING_[001],_DOCKING_[001],1,,1/5/2026,1/5/2026,Local,0.065972222,,0,INSULAR OIL CORPORATION_[0007],COS#_[000000]_LEYTE_VISPET_[007-001]_INSULAR OIL CORPORATION_[0007]_MT AVA_[0009]_V[388]DOCKING_[001]
